h,m,s,RA,d,arc m,arc s,DEC,F90,h,m,s,d,arc m,arc s,F140,T,"B(V,T)",M
12,40,46.54,190.1939167,-41,26,14.3,-40.56269444,5.8572,12,40,46.54,-41,26,14.3,11.85,17.49118522,4.06923E-16,1.65925E+27
12,40,46.06,190.1919167,-41,26,28.2,-40.55883333,5.9064,12,40,46.06,-41,26,28.2,11.513,17.69324509,4.35256E-16,1.50712E+27
12,40,45.54,190.18975,-41,26,39.5,-40.55569444,5.8466,12,40,45.54,-41,26,39.5,11.453,17.66609485,4.31376E-16,1.51275E+27
12,40,44.79,190.186625,-41,26,52.1,-40.55219444,5.7547,12,40,44.79,-41,26,52.1,11.767,17.43433719,3.99178E-16,1.67959E+27
12,40,45.3,190.18875,-41,26,8.9,-40.56419444,5.8402,12,40,45.3,-41,26,8.9,11.665,17.56031207,4.16474E-16,1.59588E+27
12,40,44.78,190.1865833,-41,26,20.2,-40.56105556,5.8502,12,40,44.78,-41,26,20.2,11.486,17.65372038,4.29615E-16,1.52333E+27
12,40,44.3,190.1845833,-41,26,32.3,-40.55769444,5.7845,12,40,44.3,-41,26,32.3,11.583,17.5466426,4.14574E-16,1.59193E+27
12,40,44.86,190.1869167,-41,25,46.4,-40.57044444,5.8521,12,40,44.86,-41,25,46.4,11.901,17.46350293,4.03139E-16,1.68203E+27
12,40,44.18,190.1840833,-41,26,1.3,-40.56630556,5.7737,12,40,44.18,-41,26,0.8,11.715,17.47562956,4.04794E-16,1.64897E+27
12,40,43.58,190.1815833,-41,26,12.1,-40.56330556,5.7536,12,40,43.58,-41,26,12.1,11.763,17.43513084,3.99285E-16,1.67857E+27
12,40,43.94,190.1830833,-41,25,37.4,-40.57294444,5.7138,12,40,43.9,-41,25,37.4,11.942,17.31835634,3.83682E-16,1.77341E+27
12,40,43.3,190.1804167,-41,25,52.7,-40.56869444,5.4954,12,40,43.26,-41,25,53.2,11.91,17.12948778,3.59315E-16,1.8886E+27
12,40,45.21,190.188375,-41,24,37.1,-40.58969444,6.1669,12,40,45.21,-41,24,37.1,11.9,17.74888004,4.4328E-16,1.52958E+27
12,40,44.81,190.1867083,-41,24,48.8,-40.58644444,6.344,12,40,44.81,-41,24,48.3,11.899,17.90722363,4.66648E-16,1.45287E+27
12,40,44.09,190.1837083,-41,25,3.2,-40.58244444,6.2307,12,40,44.09,-41,25,3.7,11.925,17.79428049,4.49899E-16,1.51025E+27
12,40,43.45,190.1810417,-41,25,17.6,-40.57844444,5.9252,12,40,43.45,-41,25,17.6,11.921,17.52112787,4.11042E-16,1.65246E+27
12,40,42.82,190.1784167,-41,25,31.1,-40.57469444,5.5695,12,40,42.82,-41,25,30.7,11.917,17.19566574,3.67732E-16,1.84646E+27
12,40,42.18,190.17575,-41,25,41.9,-40.57169444,5.2841,12,40,42.18,-41,25,42.4,11.987,16.89765796,3.30852E-16,2.06434E+27
12,40,44.17,190.1840417,-41,24,16.4,-40.59544444,5.8093,12,40,44.13,-41,24,16.4,11.961,17.39757122,3.94222E-16,1.72875E+27
12,40,43.77,190.182375,-41,24,27.2,-40.59244444,6.0169,12,40,43.73,-41,24,27.7,11.507,17.798531,4.50522E-16,1.45529E+27
12,40,43.13,190.1797083,-41,24,43.4,-40.58794444,6.2046,12,40,43.13,-41,24,43.4,11.285,18.08196893,4.93358E-16,1.3033E+27
12,40,42.57,190.177375,-41,24,54.2,-40.58494444,6.2065,12,40,42.57,-41,24,54.2,11.253,18.10003174,4.96174E-16,1.29223E+27
12,40,42.01,190.1750417,-41,25,6.8,-40.58144444,6.0172,12,40,42.01,-41,25,7.3,11.35,17.87548972,4.61901E-16,1.40007E+27
12,40,41.53,190.1730417,-41,25,22.1,-40.57719444,5.847,12,40,41.53,-41,25,22.1,11.505,17.64170004,4.27908E-16,1.53193E+27
12,40,40.9,190.1704167,-41,25,36.6,-40.57316667,5.7237,12,40,40.86,-41,25,36.6,11.638,17.46436815,4.03257E-16,1.64438E+27
12,40,40.1,190.1670833,-41,25,51,-40.56916667,5.688,12,40,40.1,-41,25,51.4,11.71,17.39813831,3.94298E-16,1.69214E+27
12,40,39.46,190.1644167,-41,26,3.6,-40.56566667,5.8677,12,40,39.46,-41,26,3.1,11.771,17.53681975,4.13212E-16,1.6231E+27
