m,deg,dma,F140,F90
0.483735,0.00806225,0.236558956,11.756,5.0028
1.01,0.016833333,0.493916185,11.367,5.3449
1.52,0.025333333,0.743319407,10.995,5.7563
1.97,0.032833333,0.963381074,11.224,6.2968
2.48,0.041333333,1.212784296,11.369,5.6959
2.9,0.048333333,1.418175185,11.902,5.3585
3.35,0.055833333,1.638236852,11.822,5.1359
3.9,0.065,1.907201111,11.932,6.4036
4.35,0.0725,2.127262778,11.939,5.819
4.8,0.08,2.347324444,12.157,5.8036
5.41,0.090166667,2.645630259,12.26,5.9719
5.82,0.097,2.846130889,11.475,5.802
6.21,0.1035,3.036851,11.351,5.9425
6.55,0.109166667,3.203119815,11.307,5.7021
6.94,0.115666667,3.393839926,11.227,5.4836
7.3,0.121666667,3.569889259,11.364,5.3041
7.75,0.129166667,3.789950926,11.636,6.1774
8.18,0.136333333,4.000232074,11.671,6.162
8.51,0.141833333,4.16161063,11.453,6.2493
9.08,0.151333333,4.440355407,11.309,5.9849
9.53,0.158833333,4.660417074,11.526,5.9473
9.84,0.164,4.812015111,11.411,6.6704
10.2,0.17,4.988064444,11.242,6.6164
10.55,0.175833333,5.159223519,11.458,6.4085
10.92,0.182,5.340163111,11.71,5.688
11.22,0.187,5.486870889,11.987,5.2841
11.58,0.193,5.662920222,11.942,5.7138
11.89,0.198166667,5.814518259,11.901,5.8521
