h,m,s,RA,d,arc m,arc s,DEC,F60,h,m,s,d,arc m,arc s,F100,T,"B(V,T)",M,
12,40,43.2,190.18,-41,23,43.1,-40.60469444,1.8144,12,40,43.2,-41,23,43.1,7.5613,24.11202194,1.01865E-15,4.22935E+26,0.042293529
12,40,43.21,190.1800417,-41,25,5.9,-40.58169444,1.7331,12,40,43.21,-41,25,5.9,7.4756,23.90521112,9.67266E-16,4.40357E+26,0.04403566
12,40,42.26,190.1760833,-41,26,25.1,-40.55969444,1.752,12,40,42.26,-41,26,25.1,7.602,23.87001881,9.58698E-16,4.51804E+26,0.045180428
12,40,35.84,190.1493333,-41,21,55.2,-40.63466667,1.7973,12,40,35.84,-41,21,55.2,7.5771,24.04223547,1.00111E-15,4.31245E+26,0.043124451
12,40,35.52,190.148,-41,23,28.8,-40.60866667,1.7482,12,40,35.52,-41,23,28.8,7.3534,24.05590458,1.00453E-15,4.17088E+26,0.041708816
12,40,35.21,190.1467083,-41,24,58.8,-40.58366667,1.6953,12,40,35.21,-41,24,58.8,7.1918,24.00474159,9.91775E-16,4.1317E+26,0.041317001
12,40,34.9,190.1454167,-41,26,28.8,-40.55866667,1.6986,12,40,34.9,-41,26,28.8,7.3238,23.90763848,9.67859E-16,4.3115E+26,0.043115044
12,40,28.48,190.1186667,-41,20,18.1,-40.66163889,1.8083,12,40,28.48,-41,20,18.1,7.4431,24.18727987,1.0378E-15,4.08644E+26,0.040864409
12,40,27.84,190.116,-41,21,51.7,-40.63563889,1.7725,12,40,27.84,-41,21,51.7,7.314,24.17205999,1.03391E-15,4.03067E+26,0.040306732
12,40,27.85,190.1160417,-41,23,21.7,-40.61063889,1.7415,12,40,27.85,-41,23,21.7,7.1823,24.17526478,1.03473E-15,3.95496E+26,0.039549638
12,40,27.21,190.113375,-41,24,51.7,-40.58563889,1.7404,12,40,27.21,-41,24,51.7,7.0862,24.25367907,1.05489E-15,3.82747E+26,0.038274705
12,40,27.21,190.113375,-41,26,18.1,-40.56163889,1.7171,12,40,27.21,-41,26,18.1,7.1301,24.13384293,1.02418E-15,3.96665E+26,0.039666453
12,40,26.58,190.11075,-41,27,51.7,-40.53563889,1.7029,12,40,26.58,-41,27,51.7,7.3351,23.91351389,9.69295E-16,4.31176E+26,0.043117595
12,40,21.44,190.0893333,-41,18,48.1,-40.68663889,1.733,12,40,21.44,-41,18,48.1,7.5597,23.83846096,9.51059E-16,4.52899E+26,0.045289927
12,40,20.81,190.0867083,-41,20,21.7,-40.66063889,1.7435,12,40,20.81,-41,20,21.7,7.3477,24.0443566,1.00165E-15,4.17967E+26,0.041796707
12,40,19.85,190.0827083,-41,21,48.1,-40.63663889,1.6997,12,40,19.85,-41,21,48.1,7.1025,24.09564048,1.01452E-15,3.98892E+26,0.039889211
12,40,19.85,190.0827083,-41,23,14.5,-40.61263889,1.6929,12,40,19.85,-41,23,14.5,7.0681,24.10076054,1.01581E-15,3.96455E+26,0.039645549
12,40,19.85,190.0827083,-41,24,44.5,-40.58763889,1.7072,12,40,19.85,-41,24,44.5,7.0482,24.16890571,1.0331E-15,3.88722E+26,0.038872206
12,40,19.21,190.0800417,-41,26,14.5,-40.56263889,1.7269,12,40,19.21,-41,26,14.5,7.1023,24.19221379,1.03906E-15,3.89459E+26,0.038945923
12,40,18.57,190.077375,-41,27,48.1,-40.53663889,1.736,12,40,18.57,-41,27,48.1,7.2488,24.1001334,1.01565E-15,4.06654E+26,0.040665445
12,40,17.61,190.073375,-41,29,18.1,-40.51163889,1.8376,12,40,17.61,-41,29,18.1,7.5807,24.17360705,1.0343E-15,4.17605E+26,0.041760534
12,40,13.46,190.0560833,-41,17,3.7,-40.71563889,1.7176,12,40,13.46,-41,17,3.7,7.53,23.80896169,9.43955E-16,4.54515E+26,0.045451502
12,40,13.46,190.0560833,-41,18,33.7,-40.69063889,1.7291,12,40,13.46,-41,18,33.7,7.4953,23.8758264,9.60109E-16,4.44808E+26,0.044480848
12,40,12.82,190.0534167,-41,20,10.9,-40.66363889,1.7209,12,40,12.82,-41,20,10.9,7.3921,23.93004905,9.73344E-16,4.32719E+26,0.043271899
12,40,12.17,190.0507083,-41,21,44.5,-40.63763889,1.6435,12,40,12.17,-41,21,44.5,7.2155,23.80048355,9.4192E-16,4.36473E+26,0.043647263
12,40,12.17,190.0507083,-41,23,7.3,-40.61463889,1.632,12,40,12.17,-41,23,7.3,7.1311,23.82851001,9.48659E-16,4.28303E+26,0.042830299
12,40,11.85,190.049375,-41,24,44.5,-40.58763889,1.6513,12,40,11.85,-41,24,44.5,7.1454,23.88633654,9.62665E-16,4.22918E+26,0.042291781
12,40,10.57,190.0440417,-41,26,10.9,-40.56363889,1.6642,12,40,10.57,-41,26,10.9,7.1498,23.92900279,9.73088E-16,4.18646E+26,0.041864556
