m,F100,deg,d,F60
1.32,7.5743,0.022,0.645514222,1.8151
3.07,7.1479,0.051166667,1.501309593,1.6623
4.22,7.0629,0.070333333,2.063689407,1.6504
5.24,6.8385,0.087333333,2.562495852,1.5562
6.4,6.9093,0.106666667,3.129765926,1.5331
8.3,6.9001,0.138333333,4.058915185,1.5985
9.58,6.9571,0.159666667,4.68486837,1.6492
10.65,6.9563,0.1775,5.208126111,1.6865
11.84,6.9676,0.197333333,5.790066963,1.7363
12.73,7.0449,0.212166667,6.225300037,1.7235
13.94,6.9258,0.232333333,6.817021407,1.6751
15.93,7.0508,0.2655,7.790183,1.7154
17.14,7.1381,0.285666667,8.38190437,1.6783
18.11,7.2218,0.301833333,8.856259519,1.7078
19.13,7.1793,0.318833333,9.355065963,1.6308
21.15,7.0927,0.3525,10.34289833,1.675
23.44,7.1672,0.390666667,11.4627677,1.6614
24.46,7.1454,0.407666667,11.96157415,1.6513
25.49,7.1498,0.424833333,12.46527085,1.6642
26.55,7.1023,0.4425,12.98363833,1.7269
28.68,7.3351,0.478,14.02526356,1.7029
